id,Название,Категория,Описание,Цена за 100 г,В наличии,Фото,Порядок
44,Grana padano,Твёрдые,"Grana Padano DOP. Классический итальянский твёрдый сыр, зернистая текстура, сладковато-ореховый вкус, выдержка от 9 месяцев.",,да,,44
45,Pecorino romano,Твёрдые,"Pecorino Romano DOP. Твёрдый овечий сыр из Лацио и Сардинии: солёный, интенсивный, слегка пикантный.",,да,,45
46,Pecorino romano nero,Твёрдые,"Pecorino Romano с чёрной коркой. Классический овечий Romano в традиционном чёрном покрытии, плотная текстура, солёный вкус.",,да,,46
47,Gorgonzola Igor синяя,Голубые,"Gorgonzola DOP Dolce «In Blu» (IGOR, Новара) — классическая сладкая горгонзола в синей упаковке: мягкий молочный вкус, кремовая текстура, нежные голубые прожилки.",,да,,47
48,Gorgonzola Igor Gran Riserva,Голубые,"Gorgonzola DOP Gran Riserva Leonardi — флагманская горгонзола IGOR, всего около 300 головок в день. Кремовая текстура, насыщенный, выразительный вкус.",,да,,48
49,Casa Leonardi (Gorgonzola Igor),Голубые,"Gorgonzola DOP Dolce Casa Leonardi (IGOR) — классическая сладкая горгонзола: нежный, слегка сладковатый молочный вкус с лёгкой кислинкой, сверхкремовая, почти намазываемая текстура, тонкие голубые прожилки.",,да,,49
50,Gorgonzola Igor crema,Голубые,Gorgonzola IGOR Creme — классическая кремовая горгонзола дольче. Мягкий голубой сыр с очень нежной текстурой.,,да,,50
51,Gorgonzola Igor чёрная,Голубые,"Gorgonzola DOP Piccante (IGOR, чёрная упаковка) — выдержанная пикантная горгонзола: более плотная, с интенсивным, острым вкусом и выраженными голубыми прожилками.",,да,,51
52,Oude Meije,Твёрдые,"Oude Meije — северо-голландский сыр 2-летней выдержки (100 недель) из Лютьевинкела. Насыщенный вкус, плотная текстура, ещё режется ножом, хорош кубиками на сырной доске.",,да,,52
53,Président Brie Lingot,Мягкие,"Président Lingot — французский мягкий сыр с белой плесенью типа бри в форме прямоугольного «слитка»: удобно нарезать ровными ломтиками. Неизменно мягкий сливочный вкус, пастеризованное коровье молоко.",,да,,53
